HH_ID,Region,HHsize,HHincome,Car_own,NofTrips,Walk_share,Auto_share,Transit_share,Taxi_share,Bike_share,Other_share
44984,A,3,4,1,21,0.62,0.00,0.38,0.00,0.00,0.00
44987,A,2,3,2,4,1.00,0.00,0.00,0.00,0.00,0.00
44995,A,2,3,1,12,0.50,0.00,0.50,0.00,0.00,0.00
45003,A,1,4,1,2,0.00,0.00,0.00,0.00,1.00,0.00
45009,A,1,3,2,12,0.67,0.00,0.33,0.00,0.00,0.00
45012,A,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
45016,A,1,2,2,7,0.71,0.00,0.29,0.00,0.00,0.00
45019,A,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
45021,A,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
45022,A,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
45040,A,1,3,1,7,0.71,0.00,0.29,0.00,0.00,0.00
45043,A,1,3,1,4,0.75,0.00,0.00,0.00,0.00,0.25
45045,A,2,3,1,2,1.00,0.00,0.00,0.00,0.00,0.00
45050,A,3,4,1,12,0.83,0.00,0.17,0.00,0.00,0.00
45052,B,2,3,1,4,0.50,0.50,0.00,0.00,0.00,0.00
45056,A,2,2,1,15,0.67,0.00,0.33,0.00,0.00,0.00
45059,B,2,3,1,8,0.50,0.25,0.25,0.00,0.00,0.00
45063,A,2,3,1,14,0.71,0.00,0.29,0.00,0.00,0.00
45067,A,1,2,2,6,0.67,0.00,0.33,0.00,0.00,0.00
45070,B,3,3,1,11,0.55,0.18,0.27,0.00,0.00,0.00
46069,B,3,3,1,16,0.50,0.00,0.50,0.00,0.00,0.00
46070,B,5,5,1,6,0.67,0.00,0.33,0.00,0.00,0.00
46071,B,3,3,1,8,0.75,0.00,0.25,0.00,0.00,0.00
46072,B,2,5,1,8,0.50,0.00,0.50,0.00,0.00,0.00
46073,A,2,4,1,5,0.40,0.60,0.00,0.00,0.00,0.00
46074,A,3,4,1,10,0.20,0.40,0.40,0.00,0.00,0.00
46075,A,3,4,1,10,0.60,0.20,0.20,0.00,0.00,0.00
46076,B,1,1,2,2,1.00,0.00,0.00,0.00,0.00,0.00
46077,B,3,4,2,16,0.63,0.00,0.38,0.00,0.00,0.00
46078,B,3,3,1,4,0.50,0.50,0.00,0.00,0.00,0.00
46087,B,2,3,2,4,0.50,0.50,0.00,0.00,0.00,0.00
46091,B,2,4,2,8,0.75,0.00,0.25,0.00,0.00,0.00
46095,B,3,5,2,4,1.00,0.00,0.00,0.00,0.00,0.00
46100,B,4,4,1,10,0.60,0.00,0.40,0.00,0.00,0.00
46105,B,1,1,2,8,0.50,0.00,0.50,0.00,0.00,0.00
46110,B,1,2,2,6,0.67,0.00,0.33,0.00,0.00,0.00
46191,B,3,3,2,16,0.63,0.00,0.38,0.00,0.00,0.00
46197,B,3,2,1,4,1.00,0.00,0.00,0.00,0.00,0.00
46200,B,3,3,1,2,1.00,0.00,0.00,0.00,0.00,0.00
46202,B,4,4,1,14,0.57,0.14,0.29,0.00,0.00,0.00
46205,B,4,4,2,8,0.75,0.25,0.00,0.00,0.00,0.00
46207,B,4,9,1,12,0.50,0.17,0.33,0.00,0.00,0.00
46210,B,3,3,1,16,0.63,0.00,0.38,0.00,0.00,0.00
46213,B,3,3,1,2,1.00,0.00,0.00,0.00,0.00,0.00
46223,B,1,3,2,2,1.00,0.00,0.00,0.00,0.00,0.00
46224,B,3,4,1,6,1.00,0.00,0.00,0.00,0.00,0.00
46231,B,1,1,2,2,1.00,0.00,0.00,0.00,0.00,0.00
46235,B,1,1,2,3,1.00,0.00,0.00,0.00,0.00,0.00
46239,B,1,1,2,2,1.00,0.00,0.00,0.00,0.00,0.00
46240,B,1,1,2,2,1.00,0.00,0.00,0.00,0.00,0.00
46246,B,1,4,2,2,1.00,0.00,0.00,0.00,0.00,0.00
46307,A,3,2,1,2,0.00,1.00,0.00,0.00,0.00,0.00
46322,B,1,3,2,12,0.67,0.00,0.33,0.00,0.00,0.00
46326,B,3,3,1,10,0.80,0.00,0.20,0.00,0.00,0.00
46344,C,2,4,1,7,0.71,0.00,0.29,0.00,0.00,0.00
46349,C,1,2,2,5,0.60,0.00,0.40,0.00,0.00,0.00
46352,C,1,2,2,6,0.67,0.00,0.33,0.00,0.00,0.00
46359,C,1,2,2,7,0.71,0.00,0.29,0.00,0.00,0.00
46363,C,1,1,2,9,0.44,0.00,0.56,0.00,0.00,0.00
46366,A,2,6,1,8,0.00,1.00,0.00,0.00,0.00,0.00
46371,C,1,1,2,9,0.44,0.00,0.44,0.00,0.00,0.11
46720,B,3,4,1,6,0.67,0.33,0.00,0.00,0.00,0.00
46726,C,2,5,2,2,1.00,0.00,0.00,0.00,0.00,0.00
46736,C,2,3,1,14,0.57,0.00,0.43,0.00,0.00,0.00
46738,C,4,6,1,12,0.67,0.00,0.33,0.00,0.00,0.00
46780,C,4,4,1,15,0.53,0.00,0.47,0.00,0.00,0.00
46782,C,2,3,2,4,0.50,0.00,0.00,0.00,0.50,0.00
46790,C,2,2,2,7,0.71,0.00,0.29,0.00,0.00,0.00
46792,C,1,1,1,4,1.00,0.00,0.00,0.00,0.00,0.00
46794,B,3,4,1,4,0.00,1.00,0.00,0.00,0.00,0.00
46796,C,2,3,1,2,1.00,0.00,0.00,0.00,0.00,0.00
46801,C,1,2,2,1,1.00,0.00,0.00,0.00,0.00,0.00
46804,C,2,3,2,2,1.00,0.00,0.00,0.00,0.00,0.00
46805,C,1,1,2,8,0.50,0.00,0.50,0.00,0.00,0.00
46808,C,1,3,2,6,0.67,0.00,0.33,0.00,0.00,0.00
46813,B,2,4,1,18,0.56,0.00,0.44,0.00,0.00,0.00
46825,B,3,4,1,14,0.57,0.00,0.43,0.00,0.00,0.00
46826,B,1,1,2,2,1.00,0.00,0.00,0.00,0.00,0.00
46831,B,1,3,1,8,0.25,0.25,0.50,0.00,0.00,0.00
46927,B,3,4,1,8,0.50,0.25,0.25,0.00,0.00,0.00
46932,B,1,2,2,6,0.67,0.00,0.33,0.00,0.00,0.00
46935,B,2,3,2,4,1.00,0.00,0.00,0.00,0.00,0.00
46964,B,3,3,2,22,0.45,0.00,0.55,0.00,0.00,0.00
46988,B,3,4,2,12,0.67,0.00,0.33,0.00,0.00,0.00
46993,B,3,4,1,6,0.67,0.33,0.00,0.00,0.00,0.00
46999,B,2,3,2,8,0.75,0.00,0.25,0.00,0.00,0.00
47003,B,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
47005,B,3,4,1,4,0.50,0.50,0.00,0.00,0.00,0.00
47008,B,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
47010,B,1,2,1,4,0.00,1.00,0.00,0.00,0.00,0.00
47013,B,2,2,2,4,1.00,0.00,0.00,0.00,0.00,0.00
47016,B,3,4,1,14,0.57,0.14,0.29,0.00,0.00,0.00
47017,B,1,1,2,2,1.00,0.00,0.00,0.00,0.00,0.00
47022,B,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
47023,B,3,4,1,20,0.70,0.00,0.30,0.00,0.00,0.00
47028,B,1,1,2,6,0.67,0.00,0.33,0.00,0.00,0.00
47038,B,2,3,2,14,0.57,0.00,0.43,0.00,0.00,0.00
47045,B,3,4,2,10,0.80,0.00,0.20,0.00,0.00,0.00
47053,B,2,4,1,8,0.75,0.00,0.25,0.00,0.00,0.00
47064,B,3,4,1,10,0.70,0.00,0.30,0.00,0.00,0.00
47075,B,2,3,2,8,0.75,0.00,0.25,0.00,0.00,0.00
47078,B,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
47084,B,2,4,2,12,0.67,0.00,0.33,0.00,0.00,0.00
47090,B,2,4,2,4,1.00,0.00,0.00,0.00,0.00,0.00
47093,B,2,3,2,2,1.00,0.00,0.00,0.00,0.00,0.00
47115,B,2,2,1,16,0.50,0.00,0.50,0.00,0.00,0.00
47124,B,2,2,1,8,0.50,0.50,0.00,0.00,0.00,0.00
47136,B,1,4,1,9,0.44,0.00,0.44,0.11,0.00,0.00
47142,C,1,2,1,4,0.00,1.00,0.00,0.00,0.00,0.00
47227,B,4,5,1,13,0.38,0.15,0.46,0.00,0.00,0.00
47245,B,2,4,1,8,0.75,0.00,0.25,0.00,0.00,0.00
47252,B,3,4,1,6,0.67,0.33,0.00,0.00,0.00,0.00
47260,B,3,5,1,14,0.57,0.14,0.29,0.00,0.00,0.00
47269,A,3,4,1,12,0.50,0.42,0.08,0.00,0.00,0.00
47341,A,3,5,1,18,0.44,0.11,0.44,0.00,0.00,0.00
47349,B,3,5,1,13,0.69,0.00,0.31,0.00,0.00,0.00
47364,B,3,4,1,22,0.64,0.00,0.36,0.00,0.00,0.00
47420,B,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
47424,B,3,3,1,4,0.50,0.50,0.00,0.00,0.00,0.00
47429,B,1,2,1,6,0.67,0.00,0.33,0.00,0.00,0.00
47432,A,1,3,1,2,0.00,1.00,0.00,0.00,0.00,0.00
47433,B,1,1,2,6,0.67,0.00,0.33,0.00,0.00,0.00
47435,B,3,5,1,11,0.55,0.18,0.27,0.00,0.00,0.00
47436,A,3,4,1,17,0.47,0.24,0.29,0.00,0.00,0.00
47437,B,4,5,1,20,0.50,0.00,0.50,0.00,0.00,0.00
47441,B,1,2,2,2,1.00,0.00,0.00,0.00,0.00,0.00
47442,A,1,2,2,8,0.50,0.13,0.38,0.00,0.00,0.00
47443,A,1,2,1,2,0.00,1.00,0.00,0.00,0.00,0.00
47444,B,2,3,2,13,0.69,0.00,0.31,0.00,0.00,0.00
47445,A,2,3,1,4,0.00,1.00,0.00,0.00,0.00,0.00
47446,B,3,3,2,21,0.62,0.00,0.33,0.05,0.00,0.00
47447,B,3,4,1,17,0.65,0.00,0.35,0.00,0.00,0.00
47448,B,3,3,1,21,0.48,0.14,0.33,0.05,0.00,0.00
47449,B,3,3,2,18,0.67,0.00,0.33,0.00,0.00,0.00
47451,B,4,3,2,10,0.80,0.00,0.20,0.00,0.00,0.00
47452,B,3,4,1,16,0.56,0.19,0.25,0.00,0.00,0.00
47627,B,4,3,2,6,0.67,0.00,0.33,0.00,0.00,0.00
47710,A,3,4,1,4,0.00,1.00,0.00,0.00,0.00,0.00
47731,B,1,2,2,6,0.67,0.00,0.33,0.00,0.00,0.00
47773,B,3,5,2,12,0.67,0.00,0.33,0.00,0.00,0.00
47870,B,2,3,1,4,0.50,0.50,0.00,0.00,0.00,0.00
47926,B,4,4,1,10,0.60,0.00,0.40,0.00,0.00,0.00
47943,B,1,2,2,6,0.67,0.00,0.33,0.00,0.00,0.00
47972,A,1,2,1,2,0.00,1.00,0.00,0.00,0.00,0.00
48035,B,4,4,1,12,0.42,0.17,0.42,0.00,0.00,0.00
48080,B,4,4,1,14,0.50,0.00,0.50,0.00,0.00,0.00
48122,B,4,3,1,4,0.50,0.50,0.00,0.00,0.00,0.00
48214,A,1,3,1,2,0.00,1.00,0.00,0.00,0.00,0.00
48278,B,2,3,2,2,1.00,0.00,0.00,0.00,0.00,0.00
48319,B,1,1,2,6,0.67,0.00,0.33,0.00,0.00,0.00
48372,B,3,4,1,22,0.64,0.00,0.36,0.00,0.00,0.00
48437,A,3,4,1,11,0.64,0.36,0.00,0.00,0.00,0.00
48508,B,3,4,1,16,0.63,0.00,0.38,0.00,0.00,0.00
48609,B,2,3,2,13,0.69,0.00,0.31,0.00,0.00,0.00
49451,B,2,2,2,8,0.75,0.00,0.25,0.00,0.00,0.00
50769,B,5,4,1,2,0.00,1.00,0.00,0.00,0.00,0.00
50908,B,3,4,1,12,0.83,0.00,0.17,0.00,0.00,0.00
50919,C,3,4,1,14,0.71,0.00,0.29,0.00,0.00,0.00
51012,C,2,3,2,2,1.00,0.00,0.00,0.00,0.00,0.00
51022,B,5,4,1,8,0.50,0.25,0.25,0.00,0.00,0.00
51162,A,3,5,1,10,0.40,0.40,0.20,0.00,0.00,0.00
51224,B,3,4,1,14,0.43,0.14,0.36,0.07,0.00,0.00
51310,C,2,3,1,2,1.00,0.00,0.00,0.00,0.00,0.00
51329,B,3,4,1,14,0.57,0.14,0.29,0.00,0.00,0.00
51433,C,4,5,1,16,0.88,0.00,0.13,0.00,0.00,0.00
